,,,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Avgeropoulos C,C4 ,Kentavros,1,2,2,2
Baxevanakis P.,C3 ,Kentavros,10,9,8,6
Benoukas Marin,C6 ,Kentavros,17,14,14,12
Damassiotis E.,C5 ,Kentavros,14,18,17,16
Gerodimos Gior,C6 ,Kentavros,11,10,12,9
Kapralos D.  -,C3 ,Kentavros,12,12,11,11
Karathanassis ,C5 ,Kentavros,5,5,5,5
Moschos A.  - ,C3 ,Kentavros,4,3,4,3
Mossios Ioanni,C6 ,Kentavros,14,17,16,14
Nomikos Ioanni,C2,Kentavros,8,7,10,8
Plakoutsis D. ,C3 ,Kentavros,19,-,-,-
Polichronopoul,C6 ,Kentavros,18,15,15,15
Rekkas Viktora,C6 ,Kentavros,13,11,9,7
Stratieva Ekat,C5 ,Kentavros,7,8,7,10
Titov Anton  -,C1,Kentavros,3,4,3,4
Tsitsigiannis ,C5 ,Kentavros,9,13,-,-
Tzigas-Zygas G,C6 ,Kentavros,14,16,13,13
Vergozissis Ap,C5 ,Kentavros,6,6,6,-
Vlachos Aposto,C2,Kentavros,2,1,1,1
