0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No.,Crew,Group,Race,,,,,,,,,,,,,,,,
1,Paddon  Ha,RC2,Scandinavia,1,1,2,2,1,2,2,3,1,1,2,2,3,4,12,1
2,Østberg  M,RC2,Scandinavia,15,13,11,11,11,11,11,12,11,9,10,7,8,8,9,7
3,Llarena  E,RC2,Scandinavia,11,9,14,17,12,12,13,10,18,-,-,-,-,-,-,-
4,Mabellini ,RC2,Scandinavia,14,14,12,14,9,10,12,13,20,12,15,13,13,13,14,9
5,Solberg  O,RC2,Scandinavia,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,3
6,Sesks  M. ,RC2,Scandinavia,4,7,6,8,4,3,4,3,4,3,4,5,2,2,3,2
7,Franceschi,RC2,Scandinavia,9,10,10,16,7,8,5,7,28,14,8,9,9,12,5,6
8,Heikkilä  ,RC2,Scandinavia,4,6,4,4,3,6,3,2,3,4,6,3,4,36,10,10
9,McErlean  ,RC2,Scandinavia,7,18,8,7,40,39,38,38,16,10,16,14,12,11,11,11
10,Mareš  Fil,RC2,Scandinavia,19,8,9,9,10,9,9,11,10,13,14,10,11,10,7,8
11,Rådström  ,RC2,Scandinavia,18,17,17,20,18,39,38,-,-,-,-,-,-,-,-,-
12,László  Ma,RC2,Scandinavia,22,36,27,26,20,20,20,20,19,17,17,30,16,17,17,19
14,Campedelli,RC2,Scandinavia,47,19,13,13,14,14,14,15,17,-,-,-,-,-,-,-
15,Battistoll,RC2,Scandinavia,20,22,19,21,17,18,18,19,15,15,11,11,14,15,16,15
16,Veiby  O. ,RC2,Scandinavia,13,12,20,12,13,13,10,9,41,-,-,-,-,-,-,-
17,Armstrong ,RC2,Scandinavia,16,16,16,15,19,16,15,15,9,15,12,11,15,14,13,12
18,Joona  Lau,RC2,Scandinavia,10,5,7,6,5,4,7,8,7,6,5,6,5,3,4,5
19,Gryazin  N,RC2,Scandinavia,3,4,5,4,7,5,6,6,5,5,3,4,5,5,2,4
20,Cuzma  Bog,RC2,Scandinavia,46,37,38,36,37,36,34,34,32,33,30,29,29,32,26,29
21,Somaschini,RC2,Scandinavia,38,38,37,38,34,35,35,35,25,32,29,33,21,28,27,27
22,Larsen  F.,RC2,Scandinavia,6,3,3,3,6,7,8,5,6,-,-,-,-,-,-,-
23,Gustafsson,RC2,Scandinavia,16,14,15,18,16,17,17,17,14,11,13,15,10,9,15,13
24,Binbach  W,RC2,Scandinavia,21,20,18,19,20,19,19,18,13,-,-,-,-,-,-,-
25,Al-Rashed ,RC2,Scandinavia,32,27,25,22,23,22,22,22,23,19,19,18,19,18,19,18
26,Creighton ,RC3,Scandinavia,23,21,24,45,45,42,41,40,21,18,18,17,18,16,18,17
27,Feofanov  ,RC3,Scandinavia,31,32,47,45,45,42,41,40,-,-,-,-,-,-,-,-
28,Nore  Ola ,RC4,Scandinavia,27,31,35,31,31,27,29,27,24,24,20,26,28,27,21,25
29,Hansen  Vi,RC4,Scandinavia,37,34,34,32,32,29,28,32,34,28,26,20,33,31,36,36
30,Maior  Nor,RC4,Scandinavia,33,30,32,28,28,25,27,25,31,21,25,20,23,23,22,22
31,Daprà  Rob,RC4,Scandinavia,29,33,30,30,27,28,25,26,27,25,24,23,20,24,25,21
32,McRae  Max,RC4,Scandinavia,30,28,29,27,26,31,43,42,38,29,27,28,25,26,31,23
33,Raftery  A,RC4,Scandinavia,43,43,43,42,42,44,43,42,-,-,-,-,-,-,-,-
34,Zanin  Mat,RC4,Scandinavia,40,39,40,37,36,34,33,33,39,33,33,-,-,-,-,-
35,Tiits  M. ,RC4,Scandinavia,34,42,36,34,30,32,30,28,35,27,32,27,30,25,30,24
36,Jalava  Mi,RC4,Scandinavia,39,43,43,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Schulz  Ti,RC4,Scandinavia,45,43,43,42,42,44,43,42,37,31,34,37,32,30,29,30
38,Spitalier ,RC4,Scandinavia,44,43,43,42,42,44,43,42,42,36,36,35,35,34,34,35
39,Johansson ,RC4,Scandinavia,36,29,28,32,29,26,26,31,28,23,31,22,22,22,28,20
40,Kramer  A.,RC4,Scandinavia,41,40,39,39,38,37,36,36,40,38,35,34,34,33,33,31
41,Andersson ,RC4,Scandinavia,34,35,33,34,35,33,32,30,36,30,28,31,31,29,32,32
44,Reiersen  ,RC4,Scandinavia,25,24,22,23,22,23,24,23,26,20,37,19,25,19,24,26
45,Hallberg  ,RC4,Scandinavia,28,26,26,25,24,24,23,23,33,26,23,25,27,21,23,28
46,Kreuter  N,RC4,Scandinavia,42,41,41,40,39,38,37,37,43,37,38,36,36,35,35,34
47,Åhlin  Fre,RC2,Scandinavia,12,47,42,41,40,39,38,38,8,6,7,8,7,6,6,14
48,Åkesson  J,RC2,Scandinavia,8,10,21,10,15,15,16,14,12,8,9,16,37,7,8,33
49,Lassila  L,RC4,Scandinavia,26,25,31,29,33,30,31,29,30,22,21,32,24,-,-,-
50,O'Brien  P,RC2,Scandinavia,24,23,23,24,25,21,21,21,22,35,21,24,17,20,20,16
