,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Amoutzas Giorg,C3 F2,Olympiako,21,20,15,15,12,13
Anastassopoulo,C4 F2,Olympiako,26,31,30,25,24,19
Angelopoulos A,C5 F2,Olympiako,18,14,11,11,16,10
Athanassopoulo,C6 F2,Olympiako,34,33,29,29,28,26
Badounas I.  -,C2,Olympiako,4,4,5,4,3,3
Bris Panagioti,C3 F2,Olympiako,38,36,33,34,34,29
Christodoulou ,C2,Olympiako,31,-,-,-,-,-
Davaris Nikos ,C2,Olympiako,28,27,26,23,18,23
Delaportas Gio,C5 F2,Olympiako,30,22,25,17,17,17
Dimopoulos Ant,C4 F2,Olympiako,9,17,-,-,-,-
Eliopoulos Pan,C2,Olympiako,12,9,10,8,8,-
Giannakopoulos,C2,Olympiako,16,18,16,13,10,11
Giotis Ioannis,C4 F2,Olympiako,29,30,24,26,29,22
Golfinopoulos ,C5 F2,Olympiako,41,39,36,35,-,-
Kalaitzian I. ,C3 F2,Olympiako,36,35,32,31,33,30
Kalamaras Teo ,C3 F2,Olympiako,32,29,27,28,25,27
Karanikolas E.,C5 F2,Olympiako,7,10,6,7,6,7
Kehagias Giorg,C1,Olympiako,3,3,2,2,4,2
Kirkos Panagio,C2,Olympiako,5,5,3,5,2,4
Koutsoukos Ang,C4 F2,Olympiako,37,38,34,33,31,31
Lainopoulos St,C2,Olympiako,8,12,-,-,-,-
Lathouris Pana,C4 F2,Olympiako,39,-,-,-,-,-
Lymperis A.  -,C2,Olympiako,17,11,13,14,14,-
Manetas Giorgo,C4 F2,Olympiako,19,24,23,18,19,16
Mantas Panagio,C6 F2,Olympiako,40,37,35,32,32,32
Panteli Petros,C1,Olympiako,6,13,4,3,-,-
Papadimitriou ,C1,Olympiako,2,2,-,-,-,-
Papadopoulos A,C2,Olympiako,11,6,9,36,7,5
Paraskevopoulo,C5 F2,Olympiako,22,26,21,24,23,18
Roiniotis S.  ,C3 F2,Olympiako,26,21,17,16,15,21
Simetra  - Pal,C2,Olympiako,25,28,18,20,19,14
Stavropoulos D,C6 F2,Olympiako,22,25,22,22,27,12
Theocharopoulo,C2,Olympiako,15,16,14,12,9,15
Triantopoulos ,C4 F2,Olympiako,22,23,20,19,21,25
Tsetsonis Elia,C2,Olympiako,14,15,8,9,13,9
Tsouloftas Ale,C1,Olympiako,1,1,1,1,1,1
Tsoulos Argiri,C2,Olympiako,13,8,12,10,10,8
Tzavaras P.  -,C6 F2,Olympiako,33,32,28,27,26,20
Tzemos Konstan,C2,Olympiako,10,7,7,6,5,6
Yiangou Y.  - ,C2,Olympiako,35,34,31,30,30,28
Zounis Ioannis,C2,Olympiako,20,19,19,21,22,24
