Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:11:38.7,+00:00:00,7
2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:11:40.3,+00:00:01.6,7
3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:11:41.8,+00:00:03.1,7
4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:11:42,+00:00:03.3,7
5, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:11:42.9,+00:00:04.2,7
6, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:11:46.2,+00:00:07.5,7
7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:11:49.6,+00:00:10.9,7
8, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:11:55,+00:00:16.3,7
9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:10.2,+00:00:31.5,7
10, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:12:15.4,+00:00:36.7,7
11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:16,+00:00:37.3,7
12, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:12:19.5,+00:00:40.8,7
13, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:20.7,+00:00:42,7
14, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:12:22.5,+00:00:43.8,7
15, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:12:24,+00:00:45.3,7
16, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:12:27.1,+00:00:48.4,7
17, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:12:27.7,+00:00:49,7
18, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:12:30.3,+00:00:51.6,7
19, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:36.7,+00:00:58,7
20, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:12:37.3,+00:00:58.6,7
21, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:12:39.3,+00:01:00.6,7
22, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:12:46.8,+00:01:08.1,7
23, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:46.8,+00:01:08.1,7
24, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:12:48.1,+00:01:09.4,7
25, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:12:54.2,+00:01:15.5,7
26, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:12:59.7,+00:01:21,7
27, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:00.3,+00:01:21.6,7
28, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:00.5,+00:01:21.8,7
29, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:13:02.5,+00:01:23.8,7
30, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:13:07.5,+00:01:28.8,7
31, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:13:08.4,+00:01:29.7,7
32, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:13:11.7,+00:01:33,7
33, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:17.6,+00:01:38.9,7
34, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:13:19,+00:01:40.3,7
35, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:13:28.9,+00:01:50.2,7
36, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:13:30.2,+00:01:51.5,7
37, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:13:32.7,+00:01:54,7
38, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:13:33.8,+00:01:55.1,7
39, Eamonn BOLAND MJ ,Citroen C3,42,00:13:37,+00:01:58.3,7
40, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:13:39.9,+00:02:01.2,7
41, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:13:42.5,+00:02:03.8,7
42, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:13:44.2,+00:02:05.5,7
43, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:13:45.2,+00:02:06.5,7
44, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:13:46.7,+00:02:08,7
45, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:13:48.5,+00:02:09.8,7
46, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:13:55.6,+00:02:16.9,7
47, Eric ROYERE Gilbert DINI,Alpine A110,64,00:14:01,+00:02:22.3,7
48, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:14:11.3,+00:02:32.6,7
49, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:14:11.8,+00:02:33.1,7
50, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:12.2,+00:02:33.5,7
51, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:14:13.9,+00:02:35.2,7
52, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:14:16.8,+00:02:38.1,7
53, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:14:28.6,+00:02:49.9,7
54, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:33.5,+00:02:54.8,7
55, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:14:35.6,+00:02:56.9,7
56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:14:40.1,+00:03:01.4,7
57, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:14:43.1,+00:03:04.4,7
58, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:15:00.4,+00:03:21.7,7
59, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:15:04.4,+00:03:25.7,7
60, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:15:05.3,+00:03:26.6,7
61, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:15:23,+00:03:44.3,7
62, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:15:28.7,+00:03:50,7
63, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:16:06.1,+00:04:27.4,7
64, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:16:15.2,+00:04:36.5,7
65, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:16:57,+00:05:18.3,7
66, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:16:59.5,+00:05:20.8,7
67, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:22:10.2,+00:10:31.5,7
68, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:22:10.2,+00:10:31.5,7
69, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:22:10.2,+00:10:31.5,7
70, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:22:10.2,+00:10:31.5,7
71, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:23:28.9,+00:11:50.2,7
72, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:23:30.2,+00:11:51.5,7
73, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:23:30.2,+00:11:51.5,7
74, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,,+,7
